course_id,soup,avg_rating,title,url,amount,avg_rating_scale,amount_scale,Link,image_480x270
543600,Automate the Boring Stuff with Python Programming a practical programming course for office workers academics and administrators who want to improve their productivity automate tasks on their computer by writing simple python programs write programs that can do text pattern recognition with regular expressions programmatically generate and update excel spreadsheets parse pdfs and word documents crawl web sites and pull information from online sources write programs that send out email notifications use pythons debugging tools to quickly figure out bugs in your code programmatically control the mouse and keyboard to click and type for you al sweigart,4.6411767,Automate the Boring Stuff with Python Programming,/course/automate/,49.99,0.638848747,-1,https://www.udemy.com/course/automate/,https://img-c.udemycdn.com/course/480x270/543600_64d1_4.jpg?Expires=1622357850&Signature=X1VxZNE00gF~nhegBo9P6L4yP9Ae29KHBnPVIVdU4FyQ81glgDHPvx2PvFTPvp~WJUn-z4rt~Hnvb43KqyZo8A2LGXfCiZr-TDPTT7QQOUSxCFoqiI1DxWJvYxrnt0hPhkXH~QKdjLIYV9DQ5lTOG93476o02ZtyDscX9Vi1qwQ7aS7VyWtDc10AOhWsv~6EQeq1941m6dA8mqh~M45MJJBMEeNW2QB12w18f82I1D2CaGE50Bv~ZBz-SCrx4cGq4~R9FYIk-kuSgwrx5CSrxXrqTjWTKNDgeUvESDLfxZxA28gAON0I2~VSwdVtbKo8y~7rRrL44ZmVFQlAvkHgSg__&Key-Pair-Id=APKAITJV77WS5ZT7262A
258316,Complete C Unity Game Developer 2D learn unity in c code your first seven 2d video games for web mac pc the tutorials cover tilemap hours learn c a powerful modern language from scratch no prior programming experience is necessary become excellent at using the unity game engine build a solid foundation for game design and game development that will help you build your own games learn how object oriented programming works in practice create playable game projects good for your portfolio or just for your own sense of achievement transfer your knowledge from this course to net other languages and more develop highly transferable coding problem solving skills be part of an amazing and supportive community of people similar to you ben tristem gamedevtv team rick davidson,4.6724844,Complete C Unity Game Developer 2D,/course/unitycourse/,94.99,0.753460431,0,https://www.udemy.com/course/unitycourse/,https://img-c.udemycdn.com/course/480x270/258316_55e9_9.jpg?Expires=1622362718&Signature=DQQFtHgkIT9X9ml7~eglt4pkTqA4LLyyG6NWklXOP7Aw~hApadVT116UQ7byRSf1oVpLD2G-d3nD45hAxCE2vaACjULj6GY2~L00qULelSuEUKa9QBzMlqdr9hrCRXkVg5EU7UHT4KfsH0RWMgIEVra7C8kH7eSRBzXk-drgwnmWGPA9dRr9e3vtadopExm31TNsb7uMPaVr0DElFIw-14C3GNIDrjjAs1lczfloOD-gnmTEseIZiLwJ3pRmQ5lqJMW3WIv2LeJPsNjsQzIzaQ2NWIUBFSL0LkmC~wTUcc4jOc0Zau5YSI1~rSazbakE1pASQFG1n28End-KwiGRGw__&Key-Pair-Id=APKAITJV77WS5ZT7262A
629302,Learn Python Programming Masterclass this python for beginners course teaches you the python language fast includes python online training with python have a fundamental understanding of the python programming language have the skills and understanding of python to confidently apply for python programming jobs acquire the prerequisite python skills to move into specific branches machine learning data science etc add the python objectoriented programming oop skills to your résumé understand how to create your own python programs learn python from experienced professional software developers understand both python and python tim buchalka jeanpaul roberts tim buchalkas learn programming academy,4.549373,Learn Python Programming Masterclass,/course/python-the-complete-python-developer-course/,94.99,0.302772426,0,https://www.udemy.com/course/python-the-complete-python-developer-course/,https://img-b.udemycdn.com/course/480x270/629302_8a2d_2.jpg?secure=GKjraUGUdCd8uQ-uJl4cbA%3D%3D%2C1622362718
705264,Modern React with Redux master react and redux with react router webpack and createreactapp includes hooks build amazing single page applications with react js and redux master fundamental concepts behind structuring redux applications realize the power of building composable components be the engineer who explains how redux works to everyone else because you know the fundamentals so well become fluent in the toolchain supporting react including npm webpack babel and es6es2015 javascript syntax stephen grider,4.683387,Modern React with Redux,/course/react-redux/,94.99,0.793372827,0,https://www.udemy.com/course/react-redux/,https://img-c.udemycdn.com/course/480x270/705264_caa9_11.jpg?Expires=1622362717&Signature=N~8c06vVtFAvHuq-DUXlQCE8TEHEMzjq-H7ScvU-NFKUfWXLTnhpYuYT1uz5gV28p9gAIwvPxNOwu6Uj-LTKNiqGTeSKmoS1QUWN-KlOW~WUkIHwbfPgNaVsoQnXzczfKAcFdZ98INcHBc7xUKtEl4mDGurwuMLu8K9D9pbxMlLBiupFi3j4L97SMIAXaYnB~XPH~DjQ-0VXV3oCJ3-lpS0YVdliHoPg8BrcvbMc1uJvKird8y7ZJNu7aSXLR1BFGGhRp4GulQ0nWqcoyx29ijJ4IggTX2b06wqJhlBffG-mzRcpS1VHL8HTHoM3d72WRhOaJ58cagon6lQkPxFRag__&Key-Pair-Id=APKAITJV77WS5ZT7262A
764164,The Complete Web Developer Course 20 learn web development by building websites and mobile apps using html css javascript php python mysql more build websites and webapps build htmlbased mobile apps get a job as a junior web developer bid for projects on freelance websites start their own online business be a comfortable frontend developer be proficient with databases and serverside languages rob percival codestars by rob percival,4.533565,The Complete Web Developer Course 20,/course/the-complete-web-developer-course-2/,94.99,0.24490227,0,https://www.udemy.com/course/the-complete-web-developer-course-2/,https://img-c.udemycdn.com/course/480x270/764164_de03_2.jpg?Expires=1622362718&Signature=dZEHs5uH7fxsGI74SxCFiYachSlQCgrfKEp-8HYJBbYJAb~RCgz3KokvXg3SvNqm9x2YZmmvkHDPyoF5VMTWqMy8DI7nnCVRbFsi~wqeapYywS9ScdasJ3g808TL7J~obqFHM2onEWAQztK7PrNdtRy9yZPhGgvTuVcSlplc~tvLlNxzki~M79NcQU29969FSL~j5PVEccsGJS5Hs7iF6brdpN9Ypl8tJyrT5TjlLyAGrFPCgThayqZktCdEddtDmicPhwlnOohR2RT3xjVxeBNop2DvpQ~QGE0O6VL7XEkE1noqkRA1daPAptFLnVniejRR0olGfEJOzfJMXomFNg__&Key-Pair-Id=APKAITJV77WS5ZT7262A
1778502,iOS  Swift  The Complete iOS App Development Bootcamp from beginner to ios app developer with just one course fully updated with a comprehensive module dedicated to swiftui be able to build any app you want start your own app based business create a portfolio of apps to apply for junior developer jobs at a technology company become a digital nomad by working as a freelance ios developer learn to work with apples latest ui framework swiftui master creating augmented reality apps using apples new arkit create apps that use machine learning using apples new coreml master app design so youll know how to wireframe mockup and prototype your app idea master app marketing so you can publish your apps and generate downloads dr angela yu,4.766598,iOS  Swift  The Complete iOS App Development Bootcamp,/course/ios-13-app-development-bootcamp/,94.99,1.097992867,0,https://www.udemy.com/course/ios-13-app-development-bootcamp/,https://img-c.udemycdn.com/course/480x270/1778502_f4b9_12.jpg?Expires=1622362718&Signature=Zva64Bmd6JeeL4-WEeEj4P8z1Z~OM~6JP-hthAc8Yg7O0fnO25Jcfuadmsq5ul3gW1XRWXXpiq3Rq6o29z745GhQOnKzoP-r5N5NFkt7eUE-0TdD9TenZ-~n9kvshDyA0f18aYTAlmwfOmE~PUzaIXf3XkO5--UCxp9mlXZ2QoG-JpdquQDOa6O-FIgGV~D7eBEY3tFC6GxoJUffV1M~YCM~FxvLmro9b23M2uN2v46UO~zkdY-6CQnUlo3AvqdTMg3Z8QEklQGSnmIMKFYxdH3PFW1W45ggFsMezASsxlq2qrkKPG0o8PLnNF0dEO~5ewu1nuXp-xwwBD74JQUMyA__&Key-Pair-Id=APKAITJV77WS5ZT7262A
354176,Selenium WebDriver with Java Basics to AdvancedFrameworks top rated best seller master selenium java course million students learning worldwide with great collaboration by the end of this courseyou will be mastered on selenium webdriver with strong core java basics you will gain the ability to design pageobject datadrivenhybrid automation frameworks from scratch indepth understanding of real time selenium challenges with examples complete knowledge on testng mavenant jenkinslog4j cucumber html reportsexcel api grid parallel testing we have dedicated trainers who can help in answering students queries along with resumeinterview preparation with job assistance additional knowledge to understand mobile testing database testing and performance testing with selenium you will be in a position to pick any website over internet and can automate it with all the possible test cases you will improve your coding skills in writing best optmized code for automating testcases last but not least you can clear any interview and can lead entire selenium automation project from design stage you should be able to verify data integrity with the gui of the application you will be able to create great looking reports to impress clients deeper understanding of automation guidelines and code quality standards includes a practice website to play around with all available web driver functions to automate rahul shetty,4.5912614,Selenium WebDriver with Java Basics to AdvancedFrameworks,/course/selenium-real-time-examplesinterview-questions/,99.99,0.456118091,0.111111111,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,https://img-c.udemycdn.com/course/480x270/354176_fe73_5.jpg?Expires=1622368885&Signature=MxxqmqTdq8DdcHFnuQxohoTTCABZfEisMnhTAQThukuB1mKWKnedmGh8llAsTAAvsT-~rcGxd9vfvu2u0MArqp-vg9fEil0zGpM2KjpHcy2pkV65ezF6EvavCbGSJx8rqcNnm6DrUaORpOljcMCRPQOzgMCEkV-CfkBc~Y7Kzow1a1TRraTWjSPkZPR2z5W4la0nxnIlduHl2KGpCDnD4yuhtJDlmENQJ76-nfN0-fFtEjqO-04odKVt1orsy9Mf6sFd7v82pn3WsVrs1quPgS4O2MYGV3JAZUeoud9MTKYnEDWDImdOMoUg7VZYJ1TBmsGAMgECJIa3pnKFcRv1tw__&Key-Pair-Id=APKAITJV77WS5ZT7262A
922484,The Complete Nodejs Developer Course 3rd Edition learn nodejs by building realworld applications with node js express mongodb jest and more completely refilmed for 3rd edition build test and launch node apps create express web servers and apis store data with mongoose and mongodb use cuttingedge es6es7 javascript deploy your node apps to production create realtime web apps with socketio andrew mead rob percival,4.6741962,The Complete Nodejs Developer Course 3rd Edition,/course/the-complete-nodejs-developer-course-2/,84.99,0.759727013,-0.222222222,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,https://img-c.udemycdn.com/course/480x270/922484_52a1_8.jpg?Expires=1622349292&Signature=bioDkm8md~ZUSTEQ~ZIPzi2IFajFqb16ovIuxuQQfhwwNy6ZIdLPSRa628CTZ-b3xaUGBRc6CPc21AiPzUnwm8uLQQhOnRAGZDa5PrVPeyXOdbn9yKq0WjkF3XeBDijM7lKd2AUQcXzW~wBlEsUkmpp8VTpZSJr6t6~uUwM75QnCFWlAb14zprMKAqew68vV7Vi2xj81WvCQ8rlXrBltRMNCAYSrH6fGvYtg2muANzTuKegN~TUlb98i3BXPLDZfOmBTCrLCWywuMbSxDAlTkoDKhjPlPjbAslEKUotw9DKpA9POZpTz-rzE3eP4S-~0HvcvczkpmVfFelajm8HhXg__&Key-Pair-Id=APKAITJV77WS5ZT7262A
1187016,The Ultimate MySQL Bootcamp Go from SQL Beginner to Expert become an indemand sql master by creating complex databases and building reports through realworld projects create your own database or interact with existing databases write complex sql queries across multiple tables build a web app using nodejs and mysql model realworld data and generate reports using sql answer company performance or sales questions using data colt steele ian schoonover,4.614308,The Ultimate MySQL Bootcamp Go from SQL Beginner to Expert,/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,169.99,0.540487419,1.666666667,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,https://img-c.udemycdn.com/course/480x270/1187016_51b3.jpg?Expires=1622362718&Signature=ITI59cou469WHXjLUXJsTINPW0JIdOTFY0zG59MdlXOxs-N~S1-26PZmL1NHPhaO1SB0jjGwGtnDd23f2rm6gnnLVSIhlM2hw9XPgD3VNqCgx3J~iaiG07aqxKOWIZBHN8kc1WZ9TR5i6Gxgn9KuLjleWkw27RHQ9eHdTM6-zns4ClkGerjeLkHER8uJ8-SwBQzeZmLHXXFkgYHAsX63HvNbGnOn~A0uKXBPbsZlRR1SmFZ6gFw3I0NJgwLl~NS1IRO-uR2RBrAPVvBZLJCeBiaQY-j1lf8yBYvYK6tYNt~5ksUNaesRSBtUXBtllmA2uqy4jF7l8iw4L0qIbGzaOw__&Key-Pair-Id=APKAITJV77WS5ZT7262A
437398,Build Responsive Real World Websites with HTML5 and CSS3 the easiest way to learn modern web design html5 and css3 stepbystep from scratch design and code a huge project realworld skills to build realworld websites professional beautiful and truly responsive websites a huge project that will teach you everything you need to know to get started with html5 and css3 the proven realworld steps from complete scratch to a fully functional and optimized website simpletouse web design guidelines and tips to make your website stand out from the crowd learn super cool jquery effects like animations scroll effects and sticky navigation downloadable lectures code and design assets for the entire project get helpful support in the course qa get access to my best resources for web design and development with html css jonas schmedtmann,4.5065403,Build Responsive Real World Websites with HTML5 and CSS3,/course/design-and-develop-a-killer-website-with-html5-and-css3/,94.99,0.145969855,0,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,https://img-b.udemycdn.com/course/480x270/437398_46c3_9.jpg?secure=SXmtmrYjwMqAvP5ClGCZmw%3D%3D%2C1622341753
